[1] data=5.738382, mean=5.738382, var=0.000000
[2] data=4.565444, mean=5.151913, var=0.343946
[3] data=6.827308, mean=5.710378, var=-1.169006
[4] data=3.758188, mean=5.222330, var=2.505657
[5] data=2.552446, mean=4.688353, var=6.320297
[6] data=3.536991, mean=4.496460, var=6.626036
[7] data=2.885061, mean=4.266260, var=7.438251
[8] data=4.013265, mean=4.234635, var=6.717096
[9] data=5.717887, mean=4.399441, var=5.081305
[10] data=3.779713, mean=4.337468, var=5.040900
[11] data=0.585512, mean=3.996381, var=8.071777
[12] data=1.633406, mean=3.799467, var=9.104922
[13] data=3.931224, mean=3.809602, var=8.340521
[14] data=1.403133, mean=3.637711, var=9.226121
[15] data=3.158024, mean=3.605732, var=8.826118
[16] data=2.882675, mean=3.560541, var=8.588489
[17] data=2.562769, mean=3.501849, var=8.504144
[18] data=2.562378, mean=3.449656, var=8.400507
[19] data=2.627838, mean=3.406402, var=8.257384
[20] data=3.540914, mean=3.413128, var=7.804095
[21] data=6.812945, mean=3.575024, var=6.933072
[22] data=5.368138, mean=3.656529, var=6.221611
[23] data=1.238589, mean=3.551401, var=6.886110
[24] data=2.351749, mean=3.501416, var=6.979815
[25] data=3.284752, mean=3.492749, var=6.758191
[26] data=3.939942, mean=3.509949, var=6.394477
[27] data=4.410999, mean=3.543321, var=5.968654
[28] data=2.908171, mean=3.520637, var=5.918173
[29] data=-1.711036, mean=3.340235, var=7.777719
[30] data=3.727212, mean=3.353134, var=7.442704
[31] data=2.760776, mean=3.334026, var=7.333107
[32] data=3.444290, mean=3.337471, var=7.082764
[33] data=2.154531, mean=3.301625, var=7.132820
[34] data=4.969556, mean=3.350681, var=6.695304
[35] data=1.401535, mean=3.294992, var=6.958404
[36] data=6.460922, mean=3.382934, var=6.481154
[37] data=2.099967, mean=3.348259, var=6.570058
[38] data=5.100699, mean=3.394376, var=6.181269
[39] data=0.592437, mean=3.322532, var=6.676743
[40] data=3.291264, mean=3.321750, var=6.514783
[41] data=3.120205, mean=3.316834, var=6.387894
[42] data=0.413288, mean=3.247702, var=6.863959
[43] data=5.122045, mean=3.291291, var=6.512360
[44] data=0.342183, mean=3.224266, var=6.974381
[45] data=3.404732, mean=3.228277, var=6.795375
[46] data=-3.363425, mean=3.084979, var=8.437034
[47] data=6.477861, mean=3.157168, var=8.065801
[48] data=-0.647145, mean=3.077911, var=8.666579
[49] data=-0.873354, mean=2.997273, var=9.271725
[50] data=2.876122, mean=2.994850, var=9.100517
[51] data=0.813996, mean=2.952088, var=9.257833
[52] data=0.570230, mean=2.906283, var=9.444823
[53] data=-3.182236, mean=2.791406, var=10.582695
[54] data=-0.627104, mean=2.728100, var=10.935598
[55] data=5.818883, mean=2.784296, var=10.608790
[56] data=5.752784, mean=2.837305, var=10.286542
[57] data=3.998169, mean=2.857671, var=10.017389
[58] data=1.019689, mean=2.825981, var=10.075816
[59] data=3.646481, mean=2.839888, var=9.840134
[60] data=3.970120, mean=2.858725, var=9.593300
[61] data=4.607561, mean=2.887395, var=9.326012
[62] data=1.879080, mean=2.871132, var=9.282357
[63] data=6.146162, mean=2.923116, var=9.010917
[64] data=2.746493, mean=2.920356, var=8.886224
[65] data=2.898242, mean=2.920016, var=8.751446
[66] data=6.335000, mean=2.971758, var=8.497255
[67] data=1.650186, mean=2.952033, var=8.509467
[68] data=-0.631451, mean=2.899335, var=8.869683
[69] data=3.917661, mean=2.914093, var=8.672638
[70] data=3.469795, mean=2.922032, var=8.508084
[71] data=2.893946, mean=2.921637, var=8.390510
[72] data=3.313846, mean=2.927084, var=8.245107
[73] data=2.499303, mean=2.921224, var=8.167965
[74] data=2.160294, mean=2.910941, var=8.123656
[75] data=-0.915600, mean=2.859920, var=8.494551
[76] data=2.988845, mean=2.861617, var=8.373546
[77] data=3.333856, mean=2.867750, var=8.233432
[78] data=-1.348107, mean=2.813700, var=8.652024
[79] data=-0.387045, mean=2.773185, var=8.891170
[80] data=4.254732, mean=2.791704, var=8.706643
[81] data=2.569853, mean=2.788965, var=8.614661
[82] data=-0.088100, mean=2.753879, var=8.799052
[83] data=3.897560, mean=2.767658, var=8.634359
[84] data=2.586516, mean=2.765502, var=8.543603
[85] data=1.642164, mean=2.752286, var=8.528967
[86] data=3.908605, mean=2.765732, var=8.372692
[87] data=2.613943, mean=2.763987, var=8.286142
[88] data=4.262431, mean=2.781015, var=8.124933
[89] data=3.138451, mean=2.785031, var=8.013209
[90] data=3.391473, mean=2.791769, var=7.891472
[91] data=4.281506, mean=2.808140, var=7.739213
[92] data=2.221542, mean=2.801764, var=7.693782
[93] data=1.294793, mean=2.785560, var=7.723799
[94] data=5.544594, mean=2.814911, var=7.560867
[95] data=3.731703, mean=2.824562, var=7.436756
[96] data=1.751720, mean=2.813386, var=7.432848
[97] data=6.771563, mean=2.854192, var=7.289570
[98] data=2.487520, mean=2.850451, var=7.237453
[99] data=-0.587960, mean=2.815719, var=7.475381
[100] data=2.639774, mean=2.813960, var=7.410641
[101] data=-0.147582, mean=2.784637, var=7.584159
[102] data=2.377558, mean=2.780647, var=7.533189
[103] data=1.384534, mean=2.767092, var=7.552528
[104] data=1.039506, mean=2.750481, var=7.598221
[105] data=4.810956, mean=2.770104, var=7.459636
[106] data=0.664068, mean=2.750236, var=7.538320
[107] data=-1.005341, mean=2.715137, var=7.786696
[108] data=1.518135, mean=2.704054, var=7.786691
[109] data=-0.380499, mean=2.675755, var=7.951190
[110] data=4.893013, mean=2.695912, var=7.816885
[111] data=2.557973, mean=2.694669, var=7.753211
[112] data=6.255455, mean=2.726462, var=7.626907
[113] data=2.941899, mean=2.728369, var=7.549604
[114] data=1.929082, mean=2.721357, var=7.526474
[115] data=3.151203, mean=2.725095, var=7.442615
[116] data=-0.818971, mean=2.694543, var=7.648528
[117] data=2.787162, mean=2.695334, var=7.579035
[118] data=4.259981, mean=2.708594, var=7.464937
[119] data=4.095898, mean=2.720252, var=7.356017
[120] data=6.245379, mean=2.749628, var=7.239403
[121] data=-0.394962, mean=2.723640, var=7.400511
[122] data=5.798207, mean=2.748841, var=7.281046
[123] data=2.233970, mean=2.744655, var=7.246610
[124] data=5.397478, mean=2.766049, var=7.128472
[125] data=1.647236, mean=2.757098, var=7.130022
[126] data=1.635752, mean=2.748199, var=7.131552
[127] data=0.091027, mean=2.727276, var=7.243313
[128] data=3.373944, mean=2.732328, var=7.162814
[129] data=4.631059, mean=2.747047, var=7.055620
[130] data=4.328630, mean=2.759213, var=6.954480
[131] data=2.947614, mean=2.760651, var=6.893844
[132] data=0.244591, mean=2.741590, var=6.992503
[133] data=5.212392, mean=2.760168, var=6.884812
[134] data=4.989818, mean=2.776807, var=6.779500
[135] data=4.204318, mean=2.787381, var=6.686300
[136] data=3.769117, mean=2.794600, var=6.604469
[137] data=3.362452, mean=2.798745, var=6.535752
[138] data=2.254866, mean=2.794804, var=6.512245
[139] data=7.119119, mean=2.825914, var=6.426611
[140] data=5.781097, mean=2.847022, var=6.324604
[141] data=1.988143, mean=2.840931, var=6.319099
[142] data=4.324578, mean=2.851379, var=6.231354
[143] data=4.709825, mean=2.864375, var=6.138518
[144] data=0.479334, mean=2.847812, var=6.228414
[145] data=2.409802, mean=2.844792, var=6.203732
[146] data=3.969077, mean=2.852492, var=6.126568
[147] data=1.817714, mean=2.845453, var=6.131689
[148] data=0.782176, mean=2.831512, var=6.196902
[149] data=4.003609, mean=2.839378, var=6.120459
[150] data=-0.888951, mean=2.814523, var=6.310365
[151] data=3.216359, mean=2.817184, var=6.254849
[152] data=5.049331, mean=2.831869, var=6.164396
[153] data=1.609999, mean=2.823883, var=6.178377
[154] data=1.014803, mean=2.812136, var=6.224720
[155] data=3.871749, mean=2.818972, var=6.153758
[156] data=2.222458, mean=2.815148, var=6.137845
[157] data=8.329149, mean=2.850269, var=6.094734
[158] data=1.830246, mean=2.843813, var=6.098998
[159] data=0.524616, mean=2.829227, var=6.175962
[160] data=3.431009, mean=2.832988, var=6.118581
[161] data=2.724683, mean=2.832316, var=6.084413
[162] data=8.230825, mean=2.865640, var=6.038110
[163] data=4.182940, mean=2.873721, var=5.965833
[164] data=-0.132442, mean=2.855391, var=6.087959
[165] data=2.832133, mean=2.855250, var=6.051861
[166] data=-0.538506, mean=2.834806, var=6.199297
[167] data=-0.649235, mean=2.813943, var=6.350862
[168] data=3.430779, mean=2.817615, var=6.294879
[169] data=-0.239566, mean=2.799525, var=6.413019
[170] data=3.687164, mean=2.804747, var=6.350985
[171] data=3.325487, mean=2.807792, var=6.298529
[172] data=3.674418, mean=2.812830, var=6.238261
[173] data=3.592384, mean=2.817336, var=6.180617
[174] data=2.184016, mean=2.813697, var=6.167648
[175] data=2.016441, mean=2.809141, var=6.161339
[176] data=5.400616, mean=2.823865, var=6.082273
[177] data=-0.534746, mean=2.804890, var=6.216880
[178] data=1.423149, mean=2.797127, var=6.235617
[179] data=1.479575, mean=2.789767, var=6.251089
[180] data=7.469296, mean=2.815764, var=6.193230
[181] data=2.978761, mean=2.816665, var=6.154143
[182] data=-2.299239, mean=2.788555, var=6.419172
[183] data=1.998230, mean=2.784237, var=6.411293
[184] data=1.831955, mean=2.779061, var=6.409830
[185] data=3.771167, mean=2.784424, var=6.350961
[186] data=-1.554403, mean=2.761097, var=6.545454
[187] data=1.337120, mean=2.753482, var=6.562780
[188] data=2.599428, mean=2.752663, var=6.532461
[189] data=6.289966, mean=2.771378, var=6.461458
[190] data=1.644330, mean=2.765447, var=6.466599
[191] data=3.162818, mean=2.767527, var=6.422174
[192] data=-0.082356, mean=2.752684, var=6.511890
[193] data=6.631167, mean=2.772780, var=6.445799
[194] data=1.183328, mean=2.764587, var=6.470428
[195] data=3.841998, mean=2.770112, var=6.412903
[196] data=1.772320, mean=2.765021, var=6.413128
[197] data=3.528787, mean=2.768898, var=6.362283
[198] data=2.844406, mean=2.769279, var=6.328088
[199] data=2.563761, mean=2.768247, var=6.302161
[200] data=-0.576836, mean=2.751521, var=6.417716
[201] data=2.762134, mean=2.751574, var=6.385500
[202] data=2.906530, mean=2.752341, var=6.349826
[203] data=1.415541, mean=2.745756, var=6.363156
[204] data=-0.362250, mean=2.730521, var=6.461698
[205] data=7.671070, mean=2.754621, var=6.417762
[206] data=-1.084588, mean=2.735984, var=6.559146
[207] data=1.973426, mean=2.732300, var=6.550204
[208] data=1.594623, mean=2.726830, var=6.554478
[209] data=2.449978, mean=2.725506, var=6.530635
[210] data=8.019471, mean=2.750715, var=6.495621
[211] data=3.503169, mean=2.754281, var=6.448062
[212] data=3.072797, mean=2.755784, var=6.409922
[213] data=0.612673, mean=2.745722, var=6.456124
[214] data=0.763801, mean=2.736461, var=6.494523
[215] data=5.900159, mean=2.751176, var=6.430654
[216] data=4.847825, mean=2.760882, var=6.368131
[217] data=6.820400, mean=2.779590, var=6.311685
[218] data=1.607204, mean=2.774212, var=6.318603
[219] data=4.226934, mean=2.780845, var=6.262830
[220] data=0.674825, mean=2.771273, var=6.307098
[221] data=2.613296, mean=2.770558, var=6.282597
[222] data=4.768739, mean=2.779559, var=6.222696
[223] data=1.364046, mean=2.773211, var=6.238667
[224] data=0.289859, mean=2.762125, var=6.299043
[225] data=3.083825, mean=2.763554, var=6.263675
[226] data=3.014232, mean=2.764664, var=6.230159
[227] data=1.511498, mean=2.759143, var=6.239827
[228] data=-0.020849, mean=2.746950, var=6.312753
[229] data=4.228363, mean=2.753419, var=6.259457
[230] data=1.987229, mean=2.750088, var=6.252957
[231] data=1.331923, mean=2.743949, var=6.267994
[232] data=9.823107, mean=2.774462, var=6.289121
[233] data=3.248843, mean=2.776498, var=6.251887
[234] data=3.386533, mean=2.779105, var=6.212393
[235] data=4.308093, mean=2.785612, var=6.159965
[236] data=3.274909, mean=2.787685, var=6.123417
[237] data=4.684304, mean=2.795687, var=6.068389
[238] data=2.540742, mean=2.794616, var=6.049102
[239] data=2.960240, mean=2.795309, var=6.020064
[240] data=5.100566, mean=2.804914, var=5.963688
[241] data=5.117166, mean=2.814509, var=5.907567
[242] data=1.563561, mean=2.809340, var=5.918426
[243] data=2.179287, mean=2.806747, var=5.910139
[244] data=3.068191, mean=2.807818, var=5.880230
[245] data=1.587133, mean=2.802836, var=5.890012
[246] data=1.862924, mean=2.799015, var=5.890875
[247] data=3.438426, mean=2.801604, var=5.854293
[248] data=0.625231, mean=2.792828, var=5.898408
[249] data=5.176439, mean=2.802401, var=5.844314
[250] data=8.974075, mean=2.827088, var=5.834824
[251] data=2.435399, mean=2.825527, var=5.820937
[252] data=4.243434, mean=2.831154, var=5.774209
[253] data=2.175037, mean=2.828560, var=5.767643
[254] data=1.487528, mean=2.823281, var=5.781593
[255] data=5.267291, mean=2.832865, var=5.728467
[256] data=6.123543, mean=2.845719, var=5.675800
[257] data=3.855144, mean=2.849647, var=5.635469
[258] data=4.382475, mean=2.855588, var=5.589064
[259] data=-2.359082, mean=2.835454, var=5.785769
[260] data=3.165319, mean=2.836723, var=5.756792
[261] data=5.682091, mean=2.847625, var=5.704141
[262] data=0.266424, mean=2.837773, var=5.763287
[263] data=-0.136101, mean=2.826465, var=5.838434
[264] data=1.044860, mean=2.819717, var=5.866111
[265] data=-1.361185, mean=2.803940, var=5.997743
[266] data=2.332702, mean=2.802168, var=5.985883
[267] data=4.097382, mean=2.807019, var=5.942718
[268] data=3.933066, mean=2.811221, var=5.901827
[269] data=7.643401, mean=2.829185, var=5.865799
[270] data=2.123115, mean=2.826569, var=5.860594
[271] data=4.388030, mean=2.832331, var=5.815567
[272] data=3.735770, mean=2.835653, var=5.778488
[273] data=3.420416, mean=2.837795, var=5.746506
[274] data=1.994626, mean=2.834717, var=5.745447
[275] data=1.114943, mean=2.828464, var=5.770429
[276] data=2.638392, mean=2.827775, var=5.753519
[277] data=4.634343, mean=2.834297, var=5.707827
[278] data=2.409034, mean=2.832767, var=5.696550
[279] data=3.040836, mean=2.833513, var=5.672092
[280] data=0.066396, mean=2.823630, var=5.734590
[281] data=5.125965, mean=2.831824, var=5.686972
[282] data=2.346985, mean=2.830105, var=5.677302
[283] data=4.088798, mean=2.834552, var=5.637802
[284] data=1.487092, mean=2.829808, var=5.651007
[285] data=-1.202633, mean=2.815659, var=5.767350
[286] data=3.554830, mean=2.818243, var=5.734629
[287] data=3.044988, mean=2.819033, var=5.710404
[288] data=3.259615, mean=2.820563, var=5.682680
[289] data=2.719123, mean=2.820212, var=5.665019
[290] data=0.382585, mean=2.811806, var=5.712917
[291] data=5.426303, mean=2.820791, var=5.666436
[292] data=3.648148, mean=2.823624, var=5.633483
[293] data=3.461841, mean=2.825803, var=5.603420
[294] data=1.287177, mean=2.820569, var=5.621735
[295] data=2.253555, mean=2.818647, var=5.614530
[296] data=8.390159, mean=2.837470, var=5.594334
[297] data=2.032502, mean=2.834759, var=5.592943
[298] data=4.188859, mean=2.839303, var=5.554697
[299] data=5.337554, mean=2.847659, var=5.509725
[300] data=9.044306, mean=2.868314, var=5.501648
[301] data=1.892427, mean=2.865072, var=5.504988
[302] data=9.198035, mean=2.886042, var=5.499320
[303] data=3.049213, mean=2.886581, var=5.478170
[304] data=1.878156, mean=2.883264, var=5.482498
[305] data=3.949031, mean=2.886758, var=5.448204
[306] data=0.580011, mean=2.879219, var=5.490914
[307] data=4.178165, mean=2.883451, var=5.454283
[308] data=3.002994, mean=2.883839, var=5.434396
[309] data=5.524396, mean=2.892384, var=5.390260
[310] data=2.181761, mean=2.890092, var=5.387666
[311] data=1.521829, mean=2.885692, var=5.401590
[312] data=-1.908834, mean=2.870325, var=5.545605
[313] data=8.030772, mean=2.886812, var=5.518384
[314] data=4.441421, mean=2.891763, var=5.480055
[315] data=1.707965, mean=2.888005, var=5.488675
[316] data=0.408611, mean=2.880159, var=5.535670
[317] data=4.684124, mean=2.885850, var=5.495835
[318] data=5.089520, mean=2.892780, var=5.453983
[319] data=0.561122, mean=2.885470, var=5.495845
[320] data=0.209889, mean=2.877109, var=5.548852
[321] data=5.135045, mean=2.884143, var=5.507127
[322] data=7.789120, mean=2.899376, var=5.476956
[323] data=3.929623, mean=2.902566, var=5.444884
[324] data=2.636351, mean=2.901744, var=5.433037
[325] data=5.247897, mean=2.908963, var=5.391515
[326] data=1.806720, mean=2.905582, var=5.398231
[327] data=4.678440, mean=2.911003, var=5.359963
[328] data=3.062820, mean=2.911466, var=5.341013
[329] data=8.407942, mean=2.928173, var=5.319360
[330] data=4.759227, mean=2.933721, var=5.281042
[331] data=1.599167, mean=2.929690, var=5.293949
[332] data=0.353528, mean=2.921930, var=5.343065
[333] data=1.357738, mean=2.917233, var=5.361609
[334] data=5.801487, mean=2.925868, var=5.320232
[335] data=0.981132, mean=2.920063, var=5.349341
[336] data=3.382615, mean=2.921440, var=5.326062
[337] data=3.891234, mean=2.924317, var=5.296317
[338] data=2.118927, mean=2.921935, var=5.296409
[339] data=3.570057, mean=2.923846, var=5.270910
[340] data=4.327397, mean=2.927975, var=5.237170
[341] data=-0.224935, mean=2.918729, var=5.304620
[342] data=1.481068, mean=2.914525, var=5.319513
[343] data=2.562725, mean=2.913499, var=5.310307
[344] data=3.235261, mean=2.914435, var=5.289751
[345] data=-0.524831, mean=2.904466, var=5.366276
[346] data=0.311132, mean=2.896970, var=5.413379
[347] data=6.385023, mean=2.907022, var=5.374734
[348] data=3.753755, mean=2.909456, var=5.347273
[349] data=0.655831, mean=2.902998, var=5.383780
[350] data=1.646185, mean=2.899407, var=5.393615
[351] data=0.620789, mean=2.892916, var=5.430387
[352] data=0.066375, mean=2.884886, var=5.483724
[353] data=2.762662, mean=2.884539, var=5.470218
[354] data=2.249668, mean=2.882746, var=5.466185
[355] data=3.478526, mean=2.884424, var=5.442160
[356] data=3.994523, mean=2.887542, var=5.412428
[357] data=4.764372, mean=2.892800, var=5.376888
[358] data=2.573091, mean=2.891907, var=5.367290
[359] data=2.442884, mean=2.890656, var=5.360092
[360] data=4.216045, mean=2.894338, var=5.328889
[361] data=0.310865, mean=2.887181, var=5.373711
[362] data=1.412356, mean=2.883107, var=5.388237
[363] data=3.990816, mean=2.886159, var=5.359256
[364] data=3.445572, mean=2.887695, var=5.336566
[365] data=6.766611, mean=2.898323, var=5.301902
[366] data=2.844444, mean=2.898175, var=5.288272
[367] data=7.003836, mean=2.909362, var=5.255053
[368] data=3.920978, mean=2.912111, var=5.227630
[369] data=0.746971, mean=2.906244, var=5.260087
[370] data=1.732346, mean=2.903071, var=5.267917
[371] data=-0.056857, mean=2.895093, var=5.323279
[372] data=2.072586, mean=2.892882, var=5.323511
[373] data=-1.831044, mean=2.880217, var=5.441628
[374] data=3.523722, mean=2.881938, var=5.418321
[375] data=0.572724, mean=2.875780, var=5.453321
[376] data=3.650413, mean=2.877840, var=5.428618
[377] data=4.376656, mean=2.881816, var=5.397385
[378] data=2.081847, mean=2.879699, var=5.396923
[379] data=4.518660, mean=2.884024, var=5.364959
[380] data=2.841464, mean=2.883912, var=5.351488
[381] data=0.667813, mean=2.878095, var=5.383637
[382] data=1.718635, mean=2.875060, var=5.390425
[383] data=2.000165, mean=2.872776, var=5.391405
[384] data=2.985879, mean=2.873070, var=5.375715
[385] data=5.137048, mean=2.878951, var=5.341382
[386] data=0.985977, mean=2.874047, var=5.364870
[387] data=-0.255700, mean=2.865959, var=5.422433
[388] data=3.378513, mean=2.867280, var=5.401599
[389] data=0.711183, mean=2.861738, var=5.431224
[390] data=2.373713, mean=2.860486, var=5.425030
[391] data=3.728179, mean=2.862706, var=5.400440
[392] data=5.868715, mean=2.870374, var=5.365917
[393] data=4.685889, mean=2.874994, var=5.334222
[394] data=0.542899, mean=2.869075, var=5.368279
[395] data=-1.328007, mean=2.858449, var=5.459722
[396] data=0.078613, mean=2.851429, var=5.505279
[397] data=3.294051, mean=2.852544, var=5.485576
[398] data=2.817472, mean=2.852456, var=5.472297
[399] data=-2.391969, mean=2.839312, var=5.601779
[400] data=2.414297, mean=2.838250, var=5.594227
[401] data=5.005799, mean=2.843655, var=5.561404
[402] data=-0.063121, mean=2.836424, var=5.609403
[403] data=7.495992, mean=2.847986, var=5.583827
[404] data=2.239157, mean=2.846479, var=5.579460
[405] data=-1.447928, mean=2.835876, var=5.671062
[406] data=4.954292, mean=2.841094, var=5.638644
[407] data=0.906151, mean=2.836340, var=5.660825
[408] data=0.483422, mean=2.830573, var=5.693007
[409] data=2.761723, mean=2.830404, var=5.680048
[410] data=2.391017, mean=2.829333, var=5.672700
[411] data=1.656413, mean=2.826479, var=5.678299
[412] data=6.418574, mean=2.835197, var=5.646636
[413] data=1.200150, mean=2.831238, var=5.661746
[414] data=4.116612, mean=2.834343, var=5.634546
[415] data=6.550626, mean=2.843298, var=5.603570
[416] data=4.792253, mean=2.847983, var=5.572673
[417] data=4.148467, mean=2.851102, var=5.545667
[418] data=1.587223, mean=2.848078, var=5.553362
[419] data=1.490726, mean=2.844839, var=5.562849
[420] data=3.648872, mean=2.846753, var=5.540296
[421] data=0.872976, mean=2.842065, var=5.562912
[422] data=3.017812, mean=2.842481, var=5.547447
